,penalty,l1_ratio,alpha,max_iter,random_state,n_jobs,n_samples,n_features,n_classes,n_clusters_per_class,n_informative,flip_y,scale,time
64,elasticnet,0.12541756,0.0001,808,198,1,568,208,5,4,9,0.010370596,96.26095819,3.796146393
65,elasticnet,0.542385084,0.001,947,904,2,492,784,8,5,11,0.046427713,92.99064663,11.12251306
66,none,0.204477879,0.001,295,151,2,748,745,3,5,9,0.085654901,30.29263875,0.5036726
67,none,0.375567797,0.0001,588,76,1,296,523,8,3,8,0.073300974,10.64979957,0.922823668
68,l2,0.206714963,0.0001,289,861,8,673,1000,10,5,8,0.017971792,14.19350033,0.604989767
69,l2,0.189305202,0.0001,320,190,2,963,684,7,4,7,0.098630563,81.32491243,1.20430088
70,elasticnet,0.342824246,0.01,121,210,1,929,945,5,3,10,0.076178084,29.8066038,3.450880527
71,l2,0.288379123,0.01,767,229,4,165,538,9,4,8,0.056565403,35.75604215,0.303800344
72,l2,0.118260552,0.01,462,763,-1,543,205,7,4,8,0.09639967,19.22552306,0.208187103
73,none,0.36098172,0.0001,658,635,8,916,660,8,4,12,0.055636702,88.81116064,0.604895592
74,none,0.639039012,0.001,390,606,2,761,422,4,4,7,0.056406171,56.68573926,0.502878428
75,l2,0.872322807,0.0001,856,514,4,894,411,4,2,10,0.012429186,98.63948647,0.603490829
76,none,0.218683006,0.01,725,328,4,948,130,3,5,10,0.056025734,88.1075143,0.302874327
77,l1,0.668472263,0.001,757,801,4,420,297,8,4,12,0.094922006,6.988916715,1.404620647
78,none,0.60968206,0.01,468,860,-1,1000,348,9,3,7,0.039113392,98.60813918,0.509986162
79,elasticnet,0.849148664,0.01,186,502,8,505,586,4,3,9,0.069729604,50.02588413,0.504203558
80,l1,0.597339211,0.001,958,725,4,873,422,5,5,7,0.031261195,97.20249527,4.210182905
81,elasticnet,0.240696082,0.001,938,482,8,614,913,6,4,10,0.079917472,80.23944484,4.311715364
82,l1,0.12657144,0.0001,865,361,-1,284,779,7,4,8,0.022953021,7.383987527,1.310916185
83,none,0.348071226,0.001,748,738,4,706,954,6,5,8,0.038320485,35.85427026,1.305768728
84,elasticnet,0.533828007,0.001,651,288,4,330,973,2,3,7,0.092791865,89.42265237,1.446141005
85,elasticnet,0.467585959,0.01,885,241,8,276,894,7,4,10,0.048912019,90.74457448,1.807263851
86,elasticnet,0.118579535,0.0001,293,921,-1,509,405,4,5,7,0.038667011,74.22592721,0.509481668
87,l1,0.240428618,0.001,451,9,4,456,583,8,4,10,0.028006745,47.35312323,1.604833841
88,l1,0.87917719,0.0001,842,638,-1,336,955,7,3,11,0.019374243,29.81585465,1.811053753
89,l2,0.30865368,0.001,999,656,1,633,953,8,3,8,0.021448504,15.26209447,5.950839996
90,l1,0.233203928,0.01,779,540,4,819,425,7,5,9,0.00704391,72.75579879,3.910396814
91,none,0.736509575,0.01,849,299,-1,175,546,9,2,9,0.031396119,95.13827146,0.208931208
92,elasticnet,0.224444025,0.01,759,989,4,599,149,7,4,10,0.010889325,51.5055971,1.604516029
93,l2,0.800444304,0.001,276,794,2,623,315,7,2,9,0.010254451,62.32811633,0.402363777
94,l2,0.877892053,0.0001,776,781,8,972,823,5,3,8,0.005175104,38.57353942,0.905977011
95,l1,0.131902339,0.001,912,744,4,513,272,3,3,9,0.083451591,45.7637485,0.903713942
96,elasticnet,0.133391036,0.0001,291,992,2,212,501,3,3,8,0.066157584,21.09024504,0.502495289
97,none,0.212782552,0.0001,409,616,-1,727,244,3,2,8,0.093586636,72.9996086,0.208061457
98,none,0.77024763,0.0001,563,42,8,337,473,5,3,6,0.049790132,41.45833535,0.203569412
99,elasticnet,0.733463841,0.001,293,50,4,632,351,7,4,7,0.059853685,32.42610194,1.104249001
100,none,0.495770151,0.001,172,144,1,528,271,10,3,9,0.045720444,76.07178212,0.382616997
101,none,0.405458118,0.0001,619,46,4,777,545,2,2,7,0.064378348,47.95285397,0.333964348
102,none,0.751687131,0.001,910,407,8,668,541,8,5,11,0.054206701,80.1623536,0.60482049
103,l1,0.191370631,0.0001,444,116,1,767,866,8,3,8,0.078476261,54.51168825,12.90971684
104,l2,0.662153535,0.0001,692,604,2,682,657,2,4,9,0.003296448,81.72355002,0.392540455
105,elasticnet,0.444817521,0.0001,506,813,1,449,834,5,5,11,0.016107396,45.86876634,6.578579903
106,none,0.778139192,0.01,195,199,1,614,931,2,3,5,0.019359783,26.35982327,0.139255285
107,l1,0.376083697,0.0001,962,852,2,669,727,10,5,12,0.019618283,64.44638215,14.32298684
108,elasticnet,0.358454639,0.001,870,307,-1,113,878,9,2,9,0.049005159,11.2259496,0.810506821
109,elasticnet,0.79074579,0.01,156,40,1,393,804,3,3,10,0.045386457,10.92284356,0.960015059
110,elasticnet,0.457561992,0.0001,291,291,4,277,780,4,3,9,0.05963664,6.592363712,0.50302887
111,l1,0.408141174,0.001,900,17,-1,694,119,2,4,9,0.026451592,79.5434468,0.680263042
112,none,0.435925789,0.0001,223,330,1,773,529,4,4,11,0.049486524,71.25454446,0.469771862
113,l2,0.705516682,0.0001,106,206,4,654,522,7,5,8,0.061043122,25.40245414,0.103399515
114,none,0.449137449,0.001,838,936,1,981,585,6,4,8,0.026968177,94.17478597,3.748984814
115,none,0.353263057,0.001,221,110,8,732,131,5,2,10,0.039685353,27.16341001,0.104572535
116,l1,0.169893094,0.0001,881,542,2,329,120,7,2,6,0.098187492,2.101634466,1.103338718
117,none,0.587103266,0.01,977,336,1,815,623,9,5,11,0.091606894,58.24175479,6.145828247
118,l1,0.437751295,0.0001,937,902,1,861,877,9,2,8,0.094486862,5.702438273,34.65981698
119,none,0.331341618,0.0001,189,364,2,206,951,9,5,10,0.09181412,74.46721301,0.302929878
120,l1,0.289900413,0.01,282,695,8,601,880,9,2,8,0.002802728,82.72372884,1.706821442
121,l2,0.12098709,0.01,466,522,2,800,630,5,5,11,0.0366575,78.56336811,1.003945827
122,l2,0.896267896,0.001,774,221,4,631,859,7,4,8,0.0066933,89.74794414,1.104738474
123,l2,0.541333802,0.001,881,262,2,692,777,6,2,8,0.065351969,16.21881747,2.005362511
124,none,0.683702537,0.0001,699,895,-1,110,553,7,2,10,0.036770891,98.44446621,0.107523441
125,l1,0.383861904,0.001,560,654,2,279,391,8,5,11,0.023514904,89.9492656,1.704115868
126,l2,0.713699146,0.001,685,644,8,452,479,8,3,11,0.066596733,76.31820345,0.303628683
127,l2,0.368500673,0.001,581,428,-1,870,883,4,5,7,0.087351429,49.70427431,0.70868206
128,elasticnet,0.866342773,0.01,908,551,2,866,951,10,3,7,0.006903788,29.27402119,27.24256635
129,l1,0.177966819,0.001,108,601,2,992,549,9,3,11,0.083911434,38.38065306,1.905858517
130,l2,0.852613697,0.01,705,557,8,843,144,2,5,8,0.042959443,19.46428983,0.190014124
131,none,0.188642008,0.001,429,97,8,668,100,3,5,7,0.072420326,27.84693357,0.103714466
132,l1,0.524845362,0.01,658,412,1,801,215,3,4,6,0.008887059,17.68136427,2.06257987
133,elasticnet,0.872884477,0.001,382,196,4,438,280,10,3,11,0.078922762,45.50682799,1.205187082
134,elasticnet,0.12742044,0.001,708,130,8,528,317,8,5,10,0.002357452,44.40493263,1.205814123
135,elasticnet,0.47140612,0.01,837,54,4,652,330,6,3,7,0.074896125,47.8144002,2.907541037
136,l2,0.652228472,0.0001,972,381,1,655,978,10,3,11,0.059497454,99.36957615,7.6822505
137,l2,0.307369389,0.0001,985,24,4,267,617,5,3,7,0.057824864,77.52672504,0.503926516
138,elasticnet,0.589710737,0.01,517,589,2,864,796,7,2,6,0.043336435,58.17131296,9.917641163
139,l1,0.501319199,0.001,388,72,4,216,827,9,4,9,0.076408593,93.25210406,1.205052853
140,none,0.592989375,0.0001,114,492,1,461,994,7,5,8,0.062426763,21.7903645,0.455097437
141,l2,0.79796115,0.01,103,403,1,981,605,9,5,10,0.097519249,60.72513855,0.772340536
142,none,0.270794892,0.01,188,441,8,100,647,4,2,10,0.043915598,86.91676869,0.103685379
143,l1,0.85041534,0.0001,731,29,8,920,841,4,2,10,0.055393403,98.888122,3.509797335
144,elasticnet,0.365965256,0.01,964,767,4,185,143,3,4,7,0.099923679,5.624675238,0.202483654
145,l1,0.50636427,0.0001,865,395,8,996,430,4,5,10,0.082642976,73.24945234,2.708108187
146,elasticnet,0.764368439,0.01,180,835,4,874,127,5,4,9,0.096194893,73.17329886,0.403077841
147,elasticnet,0.454176282,0.001,771,159,4,536,608,7,5,8,0.08151465,71.23593979,3.908847094
148,elasticnet,0.638151736,0.001,482,67,2,356,954,3,5,9,0.042898659,59.67050729,2.406546116
149,l2,0.169229878,0.01,595,608,-1,710,931,3,2,7,0.0109288,73.35251301,0.610631943
150,elasticnet,0.732644032,0.01,389,592,-1,350,873,9,3,11,0.018424644,24.8081379,1.109407425
151,l1,0.796327556,0.01,422,988,2,461,523,8,5,10,0.08763382,29.89241398,2.806102991
152,l2,0.126435072,0.001,827,554,2,894,179,10,3,7,0.043258647,33.5681799,1.504453182
153,elasticnet,0.24364664,0.001,592,895,-1,122,279,6,3,9,0.092093082,4.802352341,0.208757401
154,none,0.572774367,0.0001,394,234,8,498,728,3,4,10,0.059680113,44.62903734,0.20377183
155,elasticnet,0.225850893,0.001,960,552,8,820,347,7,4,10,0.011911264,14.28378998,2.507460833
156,l2,0.645872269,0.01,245,66,8,562,218,8,3,9,0.095896993,17.80518361,0.103893042
157,elasticnet,0.830375233,0.01,433,686,1,213,816,9,2,8,0.032216648,39.71808876,4.615636349
158,l2,0.264107975,0.01,693,701,-1,995,658,8,2,7,0.096911781,87.37593607,0.808461428
159,l1,0.425907304,0.01,107,866,8,457,780,9,5,8,0.010082362,54.00219785,0.50471139
160,l2,0.214451961,0.01,684,496,-1,506,188,10,4,9,0.073747773,18.13043737,0.207685232
161,elasticnet,0.505642035,0.0001,533,36,1,266,450,7,3,9,0.087982268,61.64739409,3.117067099
162,elasticnet,0.438788627,0.001,424,174,1,931,650,8,2,9,0.063870986,96.25488815,14.20939755
163,elasticnet,0.875865215,0.01,338,493,2,740,715,6,2,6,0.069285869,22.84755428,4.010477781
164,l2,0.454753164,0.01,737,1,-1,417,602,7,5,8,0.079365385,55.32865469,0.308558941
165,l1,0.167892995,0.01,151,974,2,343,842,8,5,11,0.014192505,74.00481499,1.103615284
166,elasticnet,0.38453699,0.001,894,878,8,283,268,3,3,10,0.082629599,53.51746297,0.604105949
167,l2,0.418554708,0.0001,345,873,1,990,255,6,5,8,0.044113434,99.17874284,1.059008837
168,l2,0.339197443,0.001,188,645,8,514,837,5,3,8,0.030145107,87.6587304,0.203303576
169,elasticnet,0.496808508,0.0001,260,637,8,199,755,10,3,11,0.060300465,82.45877091,0.704327583
170,l1,0.469539326,0.001,446,433,4,894,882,2,4,10,0.00046508,63.71655617,1.911089897
171,none,0.318203903,0.01,871,816,8,394,888,3,4,6,0.021207547,49.20488086,0.404225588
172,none,0.774630421,0.001,710,732,4,606,220,7,3,8,0.052014876,71.9571034,0.503076315
173,l2,0.851322116,0.0001,107,99,8,861,679,3,5,8,0.089957813,78.71101767,0.104038477
174,none,0.80775312,0.0001,112,41,2,960,339,5,2,6,0.091788931,10.71604155,0.202428579
175,l2,0.49394434,0.001,726,183,-1,809,511,10,4,9,0.0272979,99.47137918,0.608397961
176,l1,0.259331654,0.001,581,557,8,691,333,2,5,6,0.044371685,70.94418884,0.744771242
177,l1,0.776738102,0.001,464,899,8,375,437,5,3,9,0.052229412,45.90508943,0.503315687
178,l2,0.703728671,0.001,881,758,-1,748,511,2,3,6,0.07623641,35.20379011,0.433580875
179,l2,0.834739806,0.0001,325,223,1,242,798,4,2,10,0.036701634,31.66583723,0.313378811
180,elasticnet,0.236631842,0.0001,102,476,2,231,922,3,4,6,0.010537961,83.5840822,0.402310848
181,l1,0.661800197,0.01,359,608,2,400,568,3,4,10,0.067645933,50.90251528,1.003341198
182,elasticnet,0.471831809,0.01,682,142,8,160,417,10,3,10,0.048798909,33.22800425,0.804519176
183,elasticnet,0.364111987,0.001,434,508,8,246,796,3,4,8,0.056398067,66.52374075,0.704429388
184,elasticnet,0.822319768,0.01,468,664,-1,813,978,5,4,8,0.006825237,54.58936296,2.814450979
185,l2,0.242146883,0.0001,849,936,4,271,286,6,2,6,0.011126511,66.99709841,0.203382254
186,l1,0.352794599,0.001,880,114,1,419,247,4,5,7,0.035560899,69.19643845,2.027327299
187,elasticnet,0.14341236,0.01,255,868,-1,494,735,7,5,11,0.077080777,77.81842067,0.807901621
188,l1,0.789305202,0.001,671,381,2,105,942,3,2,9,0.008725779,16.88576086,0.803054094
189,l1,0.797011758,0.01,225,247,-1,663,790,2,5,7,0.090136166,4.087041633,0.653027296
190,l1,0.686720031,0.01,554,239,8,645,742,10,5,11,0.070566767,14.46053278,3.210778475
191,l1,0.2534447,0.01,674,488,1,826,442,10,5,12,0.091980168,36.9455797,14.30894041
192,none,0.270194797,0.01,987,129,4,553,118,10,5,11,0.024521668,17.25051012,0.504048586
193,none,0.219382605,0.001,521,265,-1,635,851,8,3,7,0.005625882,23.13272166,0.509828568
194,l1,0.593667804,0.0001,831,271,4,811,992,6,4,8,0.002200143,39.47480391,7.615051031
195,l1,0.599923643,0.0001,442,925,1,388,144,9,4,12,0.098649725,81.77129251,1.499174595
196,l2,0.765313816,0.01,209,92,1,487,993,5,3,7,0.02475632,16.07349923,0.626791954
197,elasticnet,0.566191743,0.01,478,479,4,825,916,2,5,9,0.051817545,22.71901477,2.253744602
198,elasticnet,0.520529344,0.0001,546,159,-1,648,877,8,4,11,0.037533992,12.59631162,2.515090942
199,l2,0.681194889,0.01,615,41,8,835,968,4,4,8,0.037868669,76.14430325,0.706108093
200,l1,0.104756973,0.001,816,698,2,709,649,2,3,6,0.090968024,31.68632861,2.124569893
201,elasticnet,0.263235955,0.0001,396,56,1,228,377,2,3,8,0.0962513,17.19418182,0.239703655
202,l2,0.353754066,0.0001,771,710,1,587,673,9,4,10,0.027785958,87.4069892,3.451908588
203,l2,0.601871975,0.001,440,915,1,354,958,9,2,7,0.052771811,40.48715492,1.657850504
204,l1,0.823799303,0.0001,649,405,4,433,610,3,3,7,0.078087367,47.12155139,1.104804516
205,l2,0.857784583,0.01,906,957,-1,170,255,7,4,8,0.096426824,87.47826597,0.107818604
206,none,0.890297019,0.001,319,173,-1,201,813,6,3,11,0.049750546,15.29685934,0.107252121
207,l2,0.427555659,0.01,357,446,2,974,619,7,4,8,0.013651033,29.30393642,1.204480886
208,elasticnet,0.206589874,0.001,283,573,1,155,102,9,5,11,0.080092541,49.90142968,0.295264959
209,none,0.28396959,0.0001,733,646,8,795,355,10,5,8,0.064049901,58.05266141,0.804626703
210,l2,0.551602024,0.01,113,943,1,377,988,3,4,6,0.044910772,33.7363168,0.158181667
211,l1,0.841259636,0.0001,513,135,2,234,949,2,5,10,0.023122336,21.75590475,0.625650406
212,l2,0.883645863,0.001,850,424,1,377,579,2,3,6,0.095703945,8.534303195,0.234840631
213,l1,0.688975018,0.0001,425,124,8,308,796,3,2,5,0.090271983,61.58512103,0.703760147
214,none,0.241086488,0.01,755,904,2,528,382,10,5,11,0.045647421,47.7618913,1.303739309
215,l2,0.724178211,0.01,537,572,-1,112,538,7,3,9,0.033349848,35.90568321,0.107157707
216,l2,0.12951209,0.01,577,315,4,527,653,3,4,8,0.081381714,59.46266523,0.30294466
217,l1,0.458909078,0.01,141,737,-1,141,430,9,4,8,0.076910228,49.31175811,0.107419252
218,elasticnet,0.156631243,0.001,863,34,8,153,599,3,5,10,0.008118572,58.65943817,0.704343557
219,l2,0.226457056,0.0001,302,387,-1,492,439,8,4,10,0.010203182,31.4316923,0.207597256
220,l2,0.396715463,0.01,372,145,2,674,138,8,5,9,0.074264375,99.02982839,0.402452946
221,elasticnet,0.62616578,0.0001,221,41,8,711,220,6,3,10,0.06843701,96.09285088,0.404195547
222,elasticnet,0.25845345,0.001,827,675,4,769,311,8,3,10,0.030433648,19.64543534,3.207444906
223,l1,0.565662608,0.001,393,599,-1,432,810,9,3,7,0.070221628,69.88694112,1.009940147
224,none,0.413038411,0.001,894,835,2,104,558,3,5,10,0.071661445,90.08493937,0.202099562
225,l2,0.549915352,0.001,153,389,8,122,997,8,5,11,0.032253522,87.65179612,0.103277206
226,none,0.213456329,0.001,152,955,8,103,580,6,2,7,0.060869294,19.81709475,0.103313208
227,l2,0.301855314,0.0001,152,277,8,651,753,6,4,8,0.05808079,41.82658723,0.103858471
228,elasticnet,0.556120371,0.001,473,474,8,590,127,9,3,11,0.055819627,86.97189916,0.704250574
229,l1,0.31662402,0.0001,633,309,-1,479,472,8,3,9,0.046866096,58.62611565,1.109833717
230,l1,0.550004581,0.001,479,481,4,308,297,3,2,7,0.045587042,14.51281603,0.303744316
231,l1,0.380301243,0.01,115,207,2,175,680,9,3,9,0.071197103,58.8379746,0.402446985
232,none,0.525453333,0.01,603,292,4,311,198,4,4,9,0.017088572,39.70125956,0.102391958
233,l1,0.380909565,0.001,323,768,8,551,950,6,2,6,0.039508354,72.23946322,1.205750704
234,none,0.526615813,0.001,648,895,1,141,845,2,2,7,0.065492942,8.053198043,0.09664607
235,none,0.637915177,0.0001,199,856,-1,555,829,9,2,10,0.030205588,63.10766714,0.208891392
236,l1,0.662935098,0.001,573,927,4,933,726,2,2,6,0.018096686,44.29434962,2.122477055
237,l2,0.419247293,0.001,244,819,1,595,867,3,5,8,0.022633558,17.34952394,0.472432613
238,l2,0.463013071,0.001,375,949,1,920,219,8,4,11,0.039521481,52.40669134,1.10949111
239,elasticnet,0.257671952,0.01,873,263,1,379,259,9,4,11,0.038463373,63.20493624,5.111808777
240,elasticnet,0.528200656,0.01,631,934,4,447,902,2,3,7,0.064714504,90.02432771,1.714421272
241,none,0.268962036,0.01,667,159,4,670,308,6,3,7,0.057597977,40.64870198,0.604001284
242,l2,0.709014986,0.001,208,482,2,635,849,7,2,10,0.009774323,15.23423096,0.603444099
243,l1,0.266283375,0.01,604,2,2,947,711,10,3,8,0.077780096,70.02027112,13.12324333
244,none,0.607153392,0.0001,598,707,2,359,317,4,3,7,0.099494085,60.45124896,0.303679943
245,elasticnet,0.454122761,0.001,750,990,1,839,555,5,3,10,0.014629295,47.54522039,12.00586462
246,elasticnet,0.34617432,0.0001,445,732,4,219,838,8,3,11,0.088886062,87.66276037,1.305246592
247,l1,0.153923298,0.0001,343,328,2,739,1000,4,5,8,0.091391152,85.85950384,3.007592201
248,l2,0.455340138,0.0001,840,589,4,564,532,8,4,9,0.0117767,26.46188168,0.804359674
249,l2,0.812896799,0.0001,555,541,-1,825,282,7,5,12,0.012398544,73.46217276,0.409047365
250,l2,0.463107185,0.0001,876,295,2,343,294,3,5,10,0.094309458,64.38227432,0.302393198
251,l1,0.542856135,0.01,292,420,8,958,451,10,3,10,0.043557851,76.83492591,1.807109833
252,elasticnet,0.334212094,0.01,376,867,-1,246,344,6,2,7,0.086364332,98.21859086,0.309515238
253,elasticnet,0.816884565,0.001,205,542,8,604,513,10,4,10,0.038379682,32.50078105,1.105271339
254,none,0.281729426,0.001,614,358,2,457,301,7,2,7,0.056399874,28.1533239,0.502449989
255,l2,0.213445004,0.001,983,501,8,593,449,5,3,6,0.025675032,24.28895346,0.403734207
256,elasticnet,0.411729886,0.0001,530,508,1,298,806,9,2,7,0.099442572,75.96695903,7.961787462
257,l2,0.854251258,0.01,267,586,1,857,906,9,2,11,0.048836547,83.15748823,2.327455044
258,l2,0.232670125,0.01,822,93,4,227,280,10,5,9,0.005586765,92.82015223,0.303394318
259,none,0.273203428,0.01,562,684,4,420,127,5,3,6,0.061160403,92.81157276,0.202492952
260,l1,0.357409771,0.001,614,601,8,961,261,7,3,10,0.014543626,59.52927707,1.407184601
261,elasticnet,0.879303278,0.0001,693,848,4,139,604,5,3,9,0.088368838,29.64056622,0.904234409
262,l2,0.185613561,0.0001,300,735,4,546,709,10,2,9,0.037136558,61.71630325,0.503633738
263,elasticnet,0.526790293,0.01,520,82,-1,826,251,3,3,8,0.05181217,40.3074777,1.009189606
264,l1,0.437912529,0.0001,729,58,1,264,610,2,4,6,0.083449327,71.0304677,0.631492615
265,none,0.579640493,0.001,135,1000,8,621,639,10,2,9,0.084696681,92.02280649,0.203840971
266,none,0.563175408,0.0001,297,867,4,688,223,6,5,7,0.086336086,40.4600581,0.202639341
267,l2,0.869899195,0.01,784,328,1,988,672,8,3,8,0.087451296,19.02309402,5.284466028
268,l1,0.726729464,0.01,525,342,-1,601,507,10,3,8,0.089121082,23.01842919,1.309058189
269,l1,0.504071787,0.0001,808,580,-1,413,612,2,2,6,0.069608538,82.0814141,1.102695465
270,elasticnet,0.670507324,0.0001,703,59,2,273,279,5,2,9,0.023497241,30.27303753,1.304525137
271,elasticnet,0.603722671,0.01,836,293,-1,369,117,8,5,11,0.065451986,93.9611091,0.608613491
272,elasticnet,0.602958822,0.001,794,283,4,344,439,6,3,9,0.064787622,57.22584778,2.00596714
273,l1,0.540730205,0.0001,580,946,8,280,359,3,2,6,0.041096028,31.01499103,0.404368162
274,l1,0.763065485,0.01,993,862,8,639,701,5,5,8,0.004838267,2.057463275,2.808521748
